started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2023-12-01 06:35:06.271000+00:00,2023-12-01 06:38:38.530000+00:00,212,638,Damsgårdsallmenningen,Nede ved kai,60.386709149786796,5.299130112557805,2321,Damsgårdsveien 125,I parkering garasje ,60.38422650043981,5.3114871140229525
2023-12-01 06:35:42.734000+00:00,2023-12-01 06:55:58.943000+00:00,1216,117,Verftet,Ved kaien på ved Georgernes verft,60.395877002094046,5.307755827707297,1045,Damsgårdsveien 2,Ved Damsgårdsveien 34,60.37802198798124,5.329383048102329
2023-12-01 06:36:09.954000+00:00,2023-12-01 06:39:24.228000+00:00,194,1043,Comfort Hotel Bergen,Holbergsallmenningen bussholdeplass,60.396224461626154,5.315384703788823,36,Torgallmenningen,Valkendorfsgaten / Torgallmenningen,60.39291769029913,5.323669092809325
2023-12-01 06:36:29.176000+00:00,2023-12-01 06:42:56.783000+00:00,387,219,Jonsvollkvartalet,Jonsvollsgaten,60.39267683527631,5.317308285189142,214,Nygårdsporten,På østsiden av Nygårdsgaten,60.3839343833222,5.333450454511649
2023-12-01 06:36:42.041000+00:00,2023-12-01 06:42:21.200000+00:00,339,640,Damsgårdsveien,Ved inngang Bunnpris,60.381511501995426,5.3194353641521275,2322,Høyteknologisenteret,Utenfor hovedinngang,60.38174958551062,5.331698655041777
2023-12-01 06:37:34.226000+00:00,2023-12-01 06:44:45.345000+00:00,431,815,Gågaten,Strandgaten 60,60.395070112977045,5.31879835082907,792,Busstasjonen 2 Vest,Vis a vis Hotel Scandic Ørnen,60.388283833541436,5.332872680372475
2023-12-01 06:37:34.249000+00:00,2023-12-01 06:42:08.721000+00:00,274,219,Jonsvollkvartalet,Jonsvollsgaten,60.39267683527631,5.317308285189142,1048,Øvre Korskirkeallmenning,På venstre side av allmenning,60.395099485721786,5.328645087376344
2023-12-01 06:37:45.023000+00:00,2023-12-01 06:41:55.771000+00:00,250,83,Bergen jernbanestasjon,På høyre side av hovedinngangen til Jernbanestasjonen,60.390414110522414,5.3326504538233905,58,Tårnplass, Tårnplass ved Tinghuset,60.39375532002469,5.3217920958013565
2023-12-01 06:38:14.104000+00:00,2023-12-01 06:50:45.921000+00:00,751,75,Akvariet, Ved Akvariet og Havforskningsinstituttet,60.39987652272946,5.304686307890734,223,Rådhuset,På lekeplass ved Rådhuset ,60.39148438859138,5.328519197920741
2023-12-01 06:38:46.384000+00:00,2023-12-01 06:45:57.430000+00:00,431,49,Studentsenteret UiB,ved Parkveien / Olaf Ryes vei,60.38719801795013,5.322980046239536,644,Solheimsgaten (ved Extra),Utenfor COOP Extra,60.37514055132067,5.338517421420761
2023-12-01 06:40:28.062000+00:00,2023-12-01 06:42:11.865000+00:00,103,1043,Comfort Hotel Bergen,Holbergsallmenningen bussholdeplass,60.396224461626154,5.315384703788823,816,Østre Murallmenningen nedre,Ved inngang Gågaten,60.395143864343254,5.320002322335455
2023-12-01 06:40:55.772000+00:00,2023-12-01 06:46:08.243000+00:00,312,301,Lars Hilles,Lars Hilles gate 18,60.388117889090395,5.331487235597251,151,Småstrandgaten,ved Xhibiton,60.39309812241306,5.327022724925882
2023-12-01 06:42:23.895000+00:00,2023-12-01 06:49:10.826000+00:00,406,220,Møllendalsplass,ved KMD Fakultetet,60.379685765470725,5.3519936304809335,789,Busstasjonen 1 Nord,Ved Bergen Busstasjon sin informasjon ,60.38890977889046,5.333817119783134
2023-12-01 06:42:43.644000+00:00,2023-12-01 06:46:43.572000+00:00,239,808,Damsgårdsveien 71,By walkway to Damsgårdsveien 69-71,60.380262713779956,5.323223146883635,34,Cornerteateret, Ved BI,60.38246949877819,5.3260934892086595
2023-12-01 06:42:47.253000+00:00,2023-12-01 06:59:11.578000+00:00,984,221,Sandvikstorget,ved Norges Fiskerimuseum,60.408582102784685,5.322648583141813,49,Studentsenteret UiB,ved Parkveien / Olaf Ryes vei,60.38719801795013,5.322980046239536
2023-12-01 06:42:57.974000+00:00,2023-12-01 07:21:55.155000+00:00,2337,3396,Kronstad bybanestopp,Ved siden av sykkelskur,60.37178687508714,5.349552885719248,1892,Neumanns gate II,Nær Neumanns gate 25,60.39097915423838,5.320656172070585
2023-12-01 06:43:10.161000+00:00,2023-12-01 06:47:10.241000+00:00,240,212,Klosteret,Strangehagen,60.395137943082446,5.314946630388022,223,Rådhuset,På lekeplass ved Rådhuset ,60.39148438859138,5.328519197920741
2023-12-01 06:43:15.527000+00:00,2023-12-01 06:53:53.285000+00:00,637,808,Damsgårdsveien 71,By walkway to Damsgårdsveien 69-71,60.380262713779956,5.323223146883635,804,Stenersen,Til høyre for inngang,60.390174061139966,5.324792207669702
2023-12-01 06:44:06.398000+00:00,2023-12-01 06:57:19.672000+00:00,793,221,Sandvikstorget,ved Norges Fiskerimuseum,60.408582102784685,5.322648583141813,1888,Bergen Jernbanestasjon II,På venstre side av hovedinngangen til Jernbanestasjonen,60.39066508674793,5.333027169585989
2023-12-01 06:44:12.303000+00:00,2023-12-01 06:58:05.695000+00:00,833,1898,Kronstad,Ved Bergen frikirke,60.3720506380196,5.352659970408496,639,Frydenbø Marina,Under overbygg v/nr. 135,60.384467341026586,5.310007717995973
2023-12-01 06:44:32.056000+00:00,2023-12-01 07:02:16.636000+00:00,1064,221,Sandvikstorget,ved Norges Fiskerimuseum,60.408582102784685,5.322648583141813,788,Danmarksplass,Ved bybanestopp,60.376082994809856,5.339851409058042
2023-12-01 06:45:20.390000+00:00,2023-12-01 06:48:10.884000+00:00,170,815,Gågaten,Strandgaten 60,60.395070112977045,5.31879835082907,156,Allehelgens plass,ved Politihuset,60.39265146337743,5.328976911981613
2023-12-01 06:45:26.445000+00:00,2023-12-01 07:02:29.805000+00:00,1023,638,Damsgårdsallmenningen,Nede ved kai,60.386709149786796,5.299130112557805,214,Nygårdsporten,På østsiden av Nygårdsgaten,60.3839343833222,5.333450454511649
